date,strategy_name,tenor,trade_id,leg_id,symbol,instrument,expiry_dt,strike_pr,option_typ,side,qty_lots,lot_size,units,entry_date,exit_date,entry_price,settle_used,settle_prev_used,mtm_pnl,gap_risk_pnl_proxy,gap_method,price_method,rate_91d,rate_182d,rate_364d,vix_close,contracts,open_int,chg_in_oi
2025-01-03,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250109|20250103,short_straddle|NIFTY|WEEKLY|20250109|20250103::L000001,NIFTY,OPTIDX,2025-01-09,24000.0,CE,-1,1,75.0,-75.0,2025-01-03,2025-01-09,156.6,156.6,156.6,-0.0,-2985.0000000001096,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0661,0.0670999999999999,0.06645,13.54,1224658.0,5191500.0,2992650.0
2025-01-03,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250109|20250103,short_straddle|NIFTY|WEEKLY|20250109|20250103::L000002,NIFTY,OPTIDX,2025-01-09,24000.0,PE,-1,1,75.0,-75.0,2025-01-03,2025-01-09,156.55,156.55,156.55,-0.0,11741.25,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0661,0.0670999999999999,0.06645,13.54,1999538.0,5543400.0,1648350.0
2025-01-06,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250109|20250103,short_straddle|NIFTY|WEEKLY|20250109|20250103::L000001,NIFTY,OPTIDX,2025-01-09,24000.0,CE,-1,1,75.0,-75.0,2025-01-03,2025-01-09,156.6,57.45,156.6,7436.249999999999,8310.000000000055,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0658,0.0667,0.06634,15.65,2780328.0,9007125.0,3815625.0
2025-01-06,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250109|20250103,short_straddle|NIFTY|WEEKLY|20250109|20250103::L000002,NIFTY,OPTIDX,2025-01-09,24000.0,PE,-1,1,75.0,-75.0,2025-01-03,2025-01-09,156.55,435.0,156.55,-20883.75,11741.25,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0658,0.0667,0.06634,15.65,1441898.0,2730825.0,-2812575.0
2025-01-07,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250109|20250103,short_straddle|NIFTY|WEEKLY|20250109|20250103::L000001,NIFTY,OPTIDX,2025-01-09,24000.0,CE,-1,1,75.0,-75.0,2025-01-03,2025-01-09,156.6,25.75,57.45,2377.5,4308.75,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.066,0.0668,0.06633,14.66,1909856.0,12014625.0,3007500.0
2025-01-07,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250109|20250103,short_straddle|NIFTY|WEEKLY|20250109|20250103::L000002,NIFTY,OPTIDX,2025-01-09,24000.0,PE,-1,1,75.0,-75.0,2025-01-03,2025-01-09,156.55,318.7,435.0,8722.5,8617.50000000011,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.066,0.0668,0.06633,14.66,197658.0,2415675.0,-315150.0
2025-01-08,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250109|20250103,short_straddle|NIFTY|WEEKLY|20250109|20250103::L000001,NIFTY,OPTIDX,2025-01-09,24000.0,CE,-1,1,75.0,-75.0,2025-01-03,2025-01-09,156.6,10.35,25.75,1155.0,1931.25,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0658,0.0668,0.0666399999999999,14.47,4810284.0,13345950.0,1331325.0
2025-01-08,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250109|20250103,short_straddle|NIFTY|WEEKLY|20250109|20250103::L000002,NIFTY,OPTIDX,2025-01-09,24000.0,PE,-1,1,75.0,-75.0,2025-01-03,2025-01-09,156.55,319.05,318.7,-26.250000000001705,4901.250000000108,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0658,0.0668,0.0666399999999999,14.47,158301.0,1884300.0,-531375.0
2025-01-09,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250109|20250103,short_straddle|NIFTY|WEEKLY|20250109|20250103::L000001,NIFTY,OPTIDX,2025-01-09,24000.0,CE,-1,1,75.0,-75.0,2025-01-03,2025-01-09,156.6,0.0,10.35,776.25,776.25,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0661,0.0672,0.06665,14.66,4027498.0,9609075.0,-3736875.0
2025-01-09,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250109|20250103,short_straddle|NIFTY|WEEKLY|20250109|20250103::L000002,NIFTY,OPTIDX,2025-01-09,24000.0,PE,-1,1,75.0,-75.0,2025-01-03,2025-01-09,156.55,473.5,319.05,-11583.75,-464.99999999999915,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0661,0.0672,0.06665,14.66,60644.0,899250.0,-985050.0
